Your jokes don't amuse me	It seems that today is not my day.
I don't like your jokes	It seems that today is not my day.
Your jokes don't thrill me	It seems that today is not my day.
Your jokes don't make fun of us	It seems that today is not my day.
Your jokes aren't fun	It seems that today is not my day.
Are you trying to be fun?	It seems that today is not my day.
You're not funny	It seems that today is not my day.
Are you trying to be fun?	It seems that today is not my day.
Do you pretend to be funny?	It seems that today is not my day.
Are you trying to be funny?	It seems that today is not my day.
Do you intend to make a joke?	It seems that today is not my day.
Your jokes are horrendous	It seems that today is not my day.
Are you trying to be funny?	It seems that today is not my day.
Are you trying to be funny?	It seems that today is not my day.
Are you trying to be fun?	It seems that today is not my day.
Are you trying to be funny?	It seems that today is not my day.
Are you trying to make a joke?	It seems that today is not my day.
Your jokes are bad	It seems that today is not my day.
Your jokes suck	It seems that today is not my day.
Are you trying to be funny?	It seems that today is not my day.
How unsightly you are	I like the way I am.
Did they tell you that you're ugly in the nose?	I like the way I am.
Have you been told that you are very much of a borriquine thistle?	I like the way I am.
You have a very creepy face	I like the way I am.
You're very ugly	I like the way I am.
You're a feucho	I like the way I am.
You're disgusting	I like the way I am.
Did you know that you're dreadful?	I like the way I am.
You look like you're backfiring	I like the way I am.
You're horrible	I like the way I am.
Do you know how horrible you are?	I like the way I am.
Do you know that you're ugly in the face?	I like the way I am.
Do you know that you're ugly in the nose?	I like the way I am.
Do you know how ugly you are?	I like the way I am.
Do you know how ugly you are?	I like the way I am.
Do you know how disgusting you are?	I like the way I am.
Do you know how disgusting you are?	I like the way I am.
You have a disgusting face	I like the way I am.
Do you know how creepy you are?	I like the way I am.
Do you know how horrible you are?	I like the way I am.
Do you know how horrible you are?	I like the way I am.
Do you know that you are very much of a thistle?	I like the way I am.
Do you know that you are very much of a borriquine thistle?	I like the way I am.
Do you know how ugly you are?	I like the way I am.
Do you know how ugly you are?	I like the way I am.
Your face is ugly	I like the way I am.
Do you know how horrible you are?	I like the way I am.
Do you know that you're ugly?	I like the way I am.
Have you ever been told that you're very horrible?	I like the way I am.
Have you ever been told that you're very creepy?	I like the way I am.
Have you ever been told that you're very horrible?	I like the way I am.
Have you ever been told that you're very horrible?	I like the way I am.
Have you ever been told that you are very much of a thistle?	I like the way I am.
Have you ever been told that you are very much of a borriquine thistle?	I like the way I am.
Do you know that you are a borricero thistle?	I like the way I am.
Have you ever been told that you are very ugly in the nose?	I like the way I am.
Do you know that you are a thistle?	I like the way I am.
Do you know that you're ugly?	I like the way I am.
Do you know how disgusting you are?	I like the way I am.
Do you know how disgusting you are?	I like the way I am.
Do you know how horrible you are?	I like the way I am.
Do you know how creepy you are?	I like the way I am.
Do you know how horrible you are?	I like the way I am.
You have a horrible face.	I like the way I am.
Have you ever been told that you're really ugly in the nose?	I like the way I am.
You have a very horrible face	I like the way I am.
You have a creepy face	I like the way I am.
You have a horrible face	I like the way I am.
You have an ugly face on your nose	I like the way I am.
You have a complicated face	I like the way I am.
Your face is hard to look at	I like the way I am.
You have a cubist face	I like the way I am.
You have an ugly face	I like the way I am.
Your face is very disgusting	I like the way I am.
You have an ugly face	I like the way I am.
You have a very creepy face	I like the way I am.
You have a very horrible face	I like the way I am.
You have a very ugly face on your nose	I like the way I am.
Your face is very complicated.	I like the way I am.
Your face is very difficult to look at	I like the way I am.
horrifying	I like the way I am.
You have a very ugly face	I like the way I am.
You have a very horrible face	I like the way I am.
You have a horrifying face.	I like the way I am.
You have a horrible face	I like the way I am.
You have an ugly face under your nose	I like the way I am.
You have a complicated face.	I like the way I am.
You have a hard face to look at	I like the way I am.
You have a cubist face	I like the way I am.
You have a horrible face	I like the way I am.
You have a very disgusting face	I like the way I am.
You have a disgusting face	I like the way I am.
You have a very horrible face	I like the way I am.
You have a very ugly face on your nose	I like the way I am.
You have a very complicated face	I like the way I am.
You have a very difficult face to look at	I like the way I am.
You have a very cubist face	I like the way I am.
Have you ever been told that you are very ugly?	I like the way I am.
You have a very ugly face	I like the way I am.
You're very much of a thistle	I like the way I am.
You're very ugly	I like the way I am.
You're very disgusting	I like the way I am.
You're very disgusting	I like the way I am.
You're very horrible	I like the way I am.
You're very creepy	I like the way I am.
Have you ever been told that you're very disgusting?	I like the way I am.
You're very horrible	I like the way I am.
You are a borriquero thistle	I like the way I am.
You're very much of a borriquero thistle	I like the way I am.
You're really ugly as hell	I like the way I am.
You're really ugly in the nose	I like the way I am.
You're hard to look at	I like the way I am.
Did they tell you that you're ugly?	I like the way I am.
Did they tell you that you're ugly?	I like the way I am.
You're very horrible	I like the way I am.
You're ugly	I like the way I am.
Horrifying	I like the way I am.
Horrible	I like the way I am.
Horrible	I like the way I am.
Cardo	I like the way I am.
Borriquero thistle	I like the way I am.
Ugly of the nose	I like the way I am.
You're ugly as hell	I like the way I am.
You're ugly	I like the way I am.
You're ugly as hell	I like the way I am.
You're disgusting	I like the way I am.
You're horrifying	I like the way I am.
You're horrible	I like the way I am.
You are a thistle	I like the way I am.
Did they tell you that you're horrible?	I like the way I am.
Ugly of the nose	I like the way I am.
Have you ever been told that you're horrible?	I like the way I am.
Did they tell you that you're disgusting?	I like the way I am.
Have they told you that you are very ugly in the nose?	I like the way I am.
Have you ever been told that you're ugly?	I like the way I am.
Have you ever been told that you're ugly?	I like the way I am.
Have you ever been told that you're disgusting?	I like the way I am.
Have you ever been told that you're disgusting?	I like the way I am.
Have you ever been told that you're creepy?	I like the way I am.
Have you been told that you are very much of a thistle?	I like the way I am.
Have you ever been told that you're horrible?	I like the way I am.
Have you ever been told that you are a thistle?	I like the way I am.
Have you ever been told that you are a borriquero thistle?	I like the way I am.
Have you ever been told that you're ugly in the nose?	I like the way I am.
Have you ever been told that you're ugly in the nose?	I like the way I am.
Have you ever been told that you're very ugly?	I like the way I am.
Your face is disgusting	I like the way I am.
Have you ever been told that you're horrible?	I like the way I am.
Did they tell you that you're very ugly?	I like the way I am.
Have you ever been told that you're very disgusting?	I like the way I am.
Did they tell you that you're creepy?	I like the way I am.
Did they tell you that you're horrible?	I like the way I am.
Did they tell you that you're horrible?	I like the way I am.
Did they tell you that you're a thistle?	I like the way I am.
Have you been told that you are a borriquine thistle?	I like the way I am.
Did they tell you that you're really ugly in the nose?	I like the way I am.
Have they told you that you're ugly in the nose?	I like the way I am.
Did they tell you that you're disgusting?	I like the way I am.
Have they told you that you are very ugly?	I like the way I am.
Did they tell you that you're very disgusting?	I like the way I am.
Did they tell you that you're very disgusting?	I like the way I am.
Did they tell you that you're very horrible?	I like the way I am.
Have they told you that you are very creepy?	I like the way I am.
Have they told you that you are very horrible?	I like the way I am.
Did they tell you that you're very horrible?	I like the way I am.
Qué Feuca Eres	I like the way I am.
What feucha are you	I like the way I am.
What feucho are you	I like the way I am.
How unsightly	I like the way I am.
How unsightly you are	I like the way I am.
How unsightly	I like the way I am.
How dreadful	I like the way I am.
What a feuch	I like the way I am.
You're a feucha	I like the way I am.
What feuch are you	I like the way I am.
Did they tell you that you're dreadful?	I like the way I am.
Have you ever been told that you're dreadful?	I like the way I am.
Did they tell you that you're dreadful?	I like the way I am.
Have you ever been told that you're dreadful?	I like the way I am.
You have a very cubist face	I like the way I am.
Qué Feuca	I like the way I am.
Did you know that you are feucho?	I like the way I am.
Did you know that you are unsightly?	I like the way I am.
Have you been told that you are unsightly?	I like the way I am.
Have you ever been told that you are unsightly?	I like the way I am.
You're unsightly	I like the way I am.
Did you know that you are unsightly?	I like the way I am.
Have you been told that you are unsightly?	I like the way I am.
What a feucho	I like the way I am.
You're unsightly	I like the way I am.
What a feucha	I like the way I am.
Have they told you that you are feucho?	I like the way I am.
Have you ever been told that you are feucho?	I like the way I am.
Did you know that you are Feucha?	I like the way I am.
Have they told you that you are a feucha?	I like the way I am.
Have you ever been told that you are a feucha?	I like the way I am.
How dreadful you are	I like the way I am.
Have you ever been told that you are unsightly?	I like the way I am.
Disgusting	I like the way I am.
Do you know that you're counteracting?	I like the way I am.
Do you know that you're counteracting?	I like the way I am.
Have you ever been told that you're counteracting?	I like the way I am.
What counteract are you	I like the way I am.
What counteract are you	I like the way I am.
Fea	I like the way I am.
How dreadful	I like the way I am.
Disgusting	I like the way I am.
You're horrible	I like the way I am.
When I look at you I want to vomit	I like the way I am.
You're dreadful	I like the way I am.
Did you know that you're dreadful?	I like the way I am.
You're dreadful	I like the way I am.
Ugly	I like the way I am.
Do you know that you're a creep?	I like the way I am.
How dreadful you are	I like the way I am.
Did you know that you are deformed?	I like the way I am.
Have you been told that you are deformed?	I like the way I am.
Have you ever been told that you are deformed?	I like the way I am.
How deformed	I like the way I am.
How deformed you are	I like the way I am.
You're plywood	I like the way I am.
Did you know that you're a creep?	I like the way I am.
You're plywood	I like the way I am.
Have you ever been told that you're a creep?	I like the way I am.
You're a horror	I like the way I am.
What a fright	I like the way I am.
What a fright	I like the way I am.
You look deformed	I like the way I am.
It seems that you are counteracted	I like the way I am.
Feuco	I like the way I am.
Deformed	I like the way I am.
You're zero handsome	I like the way I am.
You're not pretty at all	I like the way I am.
You're not handsome at all	I like the way I am.
You're not pretty at all	I like the way I am.
You're not pretty at all	I like the way I am.
You're not a kid at all	I like the way I am.
You're zero attractive	I like the way I am.
Feucho	I like the way I am.
You're zero pretty	I like the way I am.
Your face is very cubist	I like the way I am.
You're zero pretty	I like the way I am.
You're zero pretty	I like the way I am.
You're zero kid	I like the way I am.
You're not attractive	I like the way I am.
You're not attractive	I like the way I am.
You're not pretty	I like the way I am.
You're zero attractive	I like the way I am.
Your face is very disgusting	I like the way I am.
Your face is horrible	I like the way I am.
Your face is creepy	I like the way I am.
Your face is horrible	I like the way I am.
Your face is ugly in the nose	I like the way I am.
Your face is complicated	I like the way I am.
Your face is hard to look at	I like the way I am.
You're not attractive at all	I like the way I am.
Your face is very ugly	I like the way I am.
You're not attractive at all	I like the way I am.
Your face is very horrible	I like the way I am.
Your face is very creepy	I like the way I am.
Your face is very horrible	I like the way I am.
Your face is so ugly as hell	I like the way I am.
Your face is very complicated	I like the way I am.
Your face is very hard to look at	I like the way I am.
You're not pretty	I like the way I am.
Your face is cubist	I like the way I am.
You're Feuca	I like the way I am.
You're not handsome	I like the way I am.
You're physically disgusting	I like the way I am.
What is your ugliest physique	I like the way I am.
How ugly is your physique	I like the way I am.
You have an awful physique	I like the way I am.
Your face is a fright	I like the way I am.
I don't like your physique	I like the way I am.
You're a feuch	I like the way I am.
You have a horrifying physique.	I like the way I am.
Did you know that you're a feuca?	I like the way I am.
Did you know that you're a feuch?	I like the way I am.
Have they told you that you are ugly?	I like the way I am.
Have you ever been told that you're ugly?	I like the way I am.
Have you ever been told that you're a feuca?	I like the way I am.
Feuca	I like the way I am.
You're deformed	I like the way I am.
Your face is dreadful	I like the way I am.
You look unsightly	I like the way I am.
Feucha	I like the way I am.
You're not a kid	I like the way I am.
You're not a babe	I like the way I am.
You're disgusting	I like the way I am.
You disgust me	I like the way I am.
You're very disgusting	I like the way I am.
You're physically ugly	I like the way I am.
Your face is disgusting	I like the way I am.
You're not pretty	I like the way I am.
You look unsightly	I like the way I am.
You look disgusting	I like the way I am.
Your face makes you want to vomit	I like the way I am.
Your face makes me want to vomit	I like the way I am.
When I see you I want to vomit	I like the way I am.
I am disgusted by your physique	I like the way I am.
You have a horrible physique	I like the way I am.
You look disgusting	I like the way I am.
What a strange answer	Sorry!
Mentira	Sorry!
What a bad answer	Sorry!
What a crap	Sorry!
It's a very ridiculous answer.	Sorry!
It doesn't make sense	Sorry!
You're incompetent	Sorry!
What do you mean you don't know?	Sorry!
That is not so	Sorry!
What a piece of shit	Sorry!
It's a rare answer	Sorry!
Everything you've told me is a lie	Sorry!
What a bad answer	Sorry!
What a bad answer	Sorry!
What a bad answer	Sorry!
What a bad answer	Sorry!
What a bad answer	Sorry!
You answer for answering	Sorry!
You answered for the sake of answering	Sorry!
What a silly question	Sorry!
What a dumb question	Sorry!
You're a nonsense	Sorry!
It's nonsense	Sorry!
It's a very rare answer	Sorry!
What a strange answer	Sorry!
What a strange answer	Sorry!
What a silly answer	Sorry!
What a silly answer	Sorry!
It's a silly answer	Sorry!
It's a very silly answer	Sorry!
What a silly answer	Sorry!
What a ridiculous answer	Sorry!
What a ridiculous answer	Sorry!
It's a ridiculous answer	Sorry!
What a strange answer	Sorry!
This doesn't work	Sorry!
Everything you told me is wrong	Sorry!
That's wrong	Sorry!
That's not true	Sorry!
I don't understand what you're saying	Sorry!
I laugh	Sorry!
I don't like your answer	Sorry!
I don't like that answer	Sorry!
I didn't expect this	Sorry!
I didn't expect you to say this	Sorry!
That's not true	Sorry!
This is nonsense	Sorry!
It doesn't make any sense	Sorry!
What a dumb answer	Sorry!
This doesn't work like that	Sorry!
Don't you know?	Sorry!
Don't you know?	Sorry!
How can you not know?	Sorry!
How can you not know that?	Sorry!
Your answer doesn't make sense	Sorry!
Your answer doesn't make sense	Sorry!
You don't make any sense	Sorry!
What's the point of this?	Sorry!
Do I have to make sense of it?	Sorry!
Do I have to make sense of it?	Sorry!
Nothing you say makes sense	Sorry!
How bad	Sorry!
You're incompetent	Sorry!
Your answers are incompetent	Sorry!
What incompetent answers	Sorry!
What an incompetence	Sorry!
Your thing is incompetence	Sorry!
How incompetent you are	Sorry!
You are the most incompetent	Sorry!
You're the most incompetent	Sorry!
You're a wreck	Sorry!
What a desestre	Sorry!
What a ridiculous answer	Sorry!
How disastrous	Sorry!
Liar	Sorry!
Fatal	Sorry!
Horror	Sorry!
The horror	Sorry!
terrible	Sorry!
This is terrible	Sorry!
This is terrifying	Sorry!
What strangest things do you say	Sorry!
What strange things do you say	Sorry!
I don't understand you	Sorry!
What you're saying doesn't make sense	Sorry!
What crap are you saying	Sorry!
How disastrous	Sorry!
What paridas do you say	Sorry!
It's a dumb answer	Sorry!
It's a really dumb answer	Sorry!
What a dumb answer	Sorry!
What a nerd	Sorry!
What a piece of shit are you	Sorry!
What a nerd	Sorry!
How stupid are you	Sorry!
What a bunch of crap	Sorry!
What a big piece of crap	Sorry!
It's not true	Sorry!
What a parida	Sorry!
That's a lie	Sorry!
What kind of a match is that?	Sorry!
What crap is that?	Sorry!
Are you an idiot?	Sorry!
Are you an idiot?	Sorry!
Are you an idiot or do you do it?	Sorry!
It doesn't convince me	Sorry!
You don't convince me	Sorry!
How little do you convince me	Sorry!
It's not what I was expecting	Sorry!
Not what I was looking for	Sorry!
Liar	Sorry!
What a stupid answer	Sorry!
What a match	Sorry!
genial	Brilliant.
I love helping you my friend	Brilliant.
I think it's very magnificent	Brilliant.
Super incredible	Brilliant.
I love to help you when I can	Brilliant.
I love to give you a hand whenever I can	Brilliant.
I think it's very sensational	Brilliant.
That seems very creepy to me	Brilliant.
I think it's so great	Brilliant.
This has been incredible	Brilliant.
I think it's very interesting	Brilliant.
I think it's so excellent	Brilliant.
I think it's very fantastic	Brilliant.
I think it's very excellent	Brilliant.
I think it's very good	Brilliant.
I think it's very amazing	Brilliant.
I think it's very extraordinary	Brilliant.
I think it's really great	Brilliant.
I think it's very fascinating	Brilliant.
I think it's so great	Brilliant.
I think it's so great	Brilliant.
I think it's so amazing	Brilliant.
I think it's so magnificent	Brilliant.
It's so extraordinary	Brilliant.
I think it's very formidable	Brilliant.
I think it's excellent	Brilliant.
Correct	Brilliant.
It's so fascinating	Brilliant.
I think it's great	Brilliant.
I think it's great	Brilliant.
I think it's amazing	Brilliant.
I think it's great	Brilliant.
I think it's very great	Brilliant.
I think it's fantastic	Brilliant.
I think it's so good	Brilliant.
I think it's okay	Brilliant.
I think it's sensational	Brilliant.
I think it's formidable	Brilliant.
I think it's extraordinary	Brilliant.
I think it's interesting	Brilliant.
I think it's fascinating	Brilliant.
I think it's very cool	Brilliant.
I think it's magnificent	Brilliant.
That's good news	Brilliant.
I think it's so fantastic	Brilliant.
Well sensational	Brilliant.
Well formidable	Brilliant.
Well extraordinary	Brilliant.
Well interesting	Brilliant.
Well fascinating	Brilliant.
Well excellent	Brilliant.
That's good news	Brilliant.
Well fantastic	Brilliant.
unbelievable	Brilliant.
Flipante	Brilliant.
It's unbelievable	Brilliant.
It's freaky	Brilliant.
That's incredible.	Brilliant.
That's freaky	Brilliant.
I think it's incredible	Brilliant.
It's worth it	Brilliant.
Of course	Brilliant.
I think it's so sensational	Brilliant.
I think it's so formidable	Brilliant.
I think it's so extraordinary	Brilliant.
I think it's so interesting	Brilliant.
I think it's so fascinating	Brilliant.
Sip	Brilliant.
Well good	Brilliant.
How not	Brilliant.
It's so formidable	Brilliant.
Well, of course.	Brilliant.
Well yes	Brilliant.
Well Great	Brilliant.
Well great	Brilliant.
Well amazing	Brilliant.
Well great	Brilliant.
Well magnificent	Brilliant.
Sipi	Brilliant.
How magnificent	Brilliant.
How fascinating	Brilliant.
Sensational	Brilliant.
formidable	Brilliant.
Extraordinary	Brilliant.
How Brilliant	Brilliant.
How great	Brilliant.
I caught it	Brilliant.
How great	Brilliant.
Pillado	Brilliant.
How fantastic	Brilliant.
How excellent	Brilliant.
How good	Brilliant.
How sensational	Brilliant.
How formidable	Brilliant.
How extraordinary	Brilliant.
It's so interesting	Brilliant.
How amazing	Brilliant.
Fantastic	Brilliant.
genial	Brilliant.
perfect	Brilliant.
Magnificent	Brilliant.
Ocá	Brilliant.
Vale	Brilliant.
terrific	Brilliant.
Bien	Brilliant.
It's Great	Brilliant.
superb	Brilliant.
Alright	Brilliant.
It's good to know	Brilliant.
I understand	Brilliant.
I like it	Brilliant.
I already tell you	Brilliant.
Hallucinating	Brilliant.
alright	Brilliant.
It's so great	Brilliant.
How interesting	Brilliant.
It's very good	Brilliant.
It's very sensational	Brilliant.
It's very formidable	Brilliant.
It's very extraordinary	Brilliant.
It's very interesting	Brilliant.
It's very fantastic	Brilliant.
It's So Cool	Brilliant.
It's very magnificent	Brilliant.
It's so amazing	Brilliant.
It's so great	Brilliant.
It's so magnificent	Brilliant.
It's so fantastic	Brilliant.
It's so excellent	Brilliant.
It's so good	Brilliant.
It's so sensational	Brilliant.
It's very fascinating	Brilliant.
It's formidable	Brilliant.
It's great	Brilliant.
It's amazing	Brilliant.
It's great	Brilliant.
It's magnificent	Brilliant.
It's fantastic	Brilliant.
It's excellent	Brilliant.
It's very excellent	Brilliant.
It's sensational	Brilliant.
It's very freaky	Brilliant.
It's extraordinary	Brilliant.
It's interesting	Brilliant.
It's fascinating	Brilliant.
It's very cool	Brilliant.
It's really great	Brilliant.
It's very amazing	Brilliant.
It's really great	Brilliant.
It's okay	Brilliant.
This is super fascinating	Brilliant.
This has been fantastic	Brilliant.
This is super good	Brilliant.
This is super cool	Brilliant.
This is super interesting	Brilliant.
This is super extraordinary	Brilliant.
This is super sensational	Brilliant.
This is super formidable	Brilliant.
This is super excellent	Brilliant.
This is super magnificent	Brilliant.
This has been freaking out	Brilliant.
This has been great	Brilliant.
This has been great	Brilliant.
This has been great	Brilliant.
This has been magnificent.	Brilliant.
I think it's freaky	Brilliant.
This is super awesome	Brilliant.
This is mind-blowing	Brilliant.
This is magnificent	Brilliant.
This is formidable	Brilliant.
This is fantastic	Brilliant.
This is fine	Brilliant.
This is cool	Brilliant.
This is interesting	Brilliant.
This is super fantastic	Brilliant.
This is sensational	Brilliant.
This has been good	Brilliant.
This is excellent	Brilliant.
This is fascinating	Brilliant.
This is super incredible	Brilliant.
This is super freaky	Brilliant.
This is super cool	Brilliant.
This is super cool	Brilliant.
This is super great	Brilliant.
This is extraordinary	Brilliant.
Insurance	Brilliant.
This has been formidable.	Brilliant.
It has been sensational	Brilliant.
It has been amazing	Brilliant.
It has been excellent	Brilliant.
It has been fascinating	Brilliant.
Ok	Brilliant.
It has been interesting	Brilliant.
Affirmative	Brilliant.
It has been cool	Brilliant.
I get it	Brilliant.
Capito	Brilliant.
surely	Brilliant.
sure	Brilliant.
Yes	Brilliant.
Good news	Brilliant.
That seems super incredible to me	Brilliant.
if	Brilliant.
That was freaking out.	Brilliant.
This has been cool	Brilliant.
This has been interesting	Brilliant.
This has been extraordinary	Brilliant.
This has been sensational	Brilliant.
This has been amazing	Brilliant.
This has been excellent	Brilliant.
It has been extraordinary	Brilliant.
That was incredible	Brilliant.
This is Great	Brilliant.
That was great	Brilliant.
That was great	Brilliant.
That was great	Brilliant.
That was great	Brilliant.
That was formidable.	Brilliant.
That was fantastic	Brilliant.
That was good	Brilliant.
This has been fascinating	Brilliant.
I think it's super interesting	Brilliant.
This is great	Brilliant.
I think it's super magnificent	Brilliant.
I think it's super fantastic	Brilliant.
I think it's super excellent	Brilliant.
I think it's super good	Brilliant.
I think it's super sensational	Brilliant.
I think it's super amazing	Brilliant.
I think it's super extraordinary	Brilliant.
I think it's super cool	Brilliant.
I think it's super fascinating	Brilliant.
It's super cool	Brilliant.
It's super cool	Brilliant.
It's super amazing	Brilliant.
It's super great	Brilliant.
It's super magnificent	Brilliant.
It's super fantastic	Brilliant.
I think it's super formidable	Brilliant.
It's super freaky	Brilliant.
That seems super freaky to me	Brilliant.
That's very incredible	Brilliant.
That's really freaking out	Brilliant.
I think it's very incredible	Brilliant.
I think it's very creepy	Brilliant.
That seems very incredible to me	Brilliant.
I think it's super great	Brilliant.
It's super incredible	Brilliant.
It's super sensational	Brilliant.
That's super incredible	Brilliant.
That's super freaky	Brilliant.
I think it's super incredible	Brilliant.
I think it's super freaky	Brilliant.
Well incredible	Brilliant.
Well, freaky	Brilliant.
I think it's super cool	Brilliant.
Super extraordinary	Brilliant.
Super cool	Brilliant.
Super great	Brilliant.
Super gorgeous	Brilliant.
Super formidable	Brilliant.
Super fantastic	Brilliant.
Super good	Brilliant.
It's super excellent	Brilliant.
Super interesting	Brilliant.
Super sensational	Brilliant.
Super mind-blowing	Brilliant.
Super excellent	Brilliant.
Super fascinating	Brilliant.
This is unbelievable	Brilliant.
This is freaking out	Brilliant.
It's very incredible	Brilliant.
Super cool	Brilliant.
I really like it	Brilliant.
This is great	Brilliant.
It's super formidable	Brilliant.
It's super extraordinary	Brilliant.
It's super interesting	Brilliant.
It's super fascinating	Brilliant.
Mola	Brilliant.
That's cool	Brilliant.
Super Cool	Brilliant.
It's super cool	Brilliant.
Super freaky	Brilliant.
How cool	Brilliant.
It freaks me out	Brilliant.
How it freaks me out	Brilliant.
How cool is it for me	Brilliant.
How freaks out	Brilliant.
Flipa	Brilliant.
It's super good	Brilliant.
It's cool	Brilliant.
I love helping you	Brilliant.
I love being able to help you	Brilliant.
I love helping my friend	Brilliant.
I love helping my friend	Brilliant.
I love helping buddy	Brilliant.
I love helping bot	Brilliant.
I love to help whenever I can	Brilliant.
Delighted to serve you when I can	Brilliant.
I love to help when I can	Brilliant.
Delighted to serve you whenever I can	Brilliant.
I love helping you my friend	Brilliant.
I love helping you buddy	Brilliant.
I love helping you bot	Brilliant.
I love to help you whenever I can	Brilliant.
I love to help you whenever I can	Brilliant.
When you want	Brilliant.
I love to help whenever I can	Brilliant.
Delighted to lend you a hand whenever I can	Brilliant.
Delighted to be able to help you whenever I can	Brilliant.
Delighted to be able to help you when I can	Brilliant.
Delighted to lend you a hand	Brilliant.
Delighted to lend you a helping hand	Brilliant.
Delighted to lend you a hand my friend	Brilliant.
Delighted to lend you a hand, buddy.	Brilliant.
I love to help	Brilliant.
Delighted to lend you a hand whenever I can	Brilliant.
I love being able to help you my friend	Brilliant.
Delighted to lend you a hand when I can	Brilliant.
Delighted to serve you	Brilliant.
Delighted to serve you friend	Brilliant.
Delighted to serve you friend	Brilliant.
Delighted to serve you colleague	Brilliant.
Delighted to serve you bot	Brilliant.
Delighted to serve you whenever I can	Brilliant.
Delighted to lend you a hand bot	Brilliant.
A pleasure to help bot	Brilliant.
I love to serve you whenever I can	Brilliant.
I love to serve you whenever I can	Brilliant.
I love to serve you when I can	Brilliant.
A pleasure to help	Brilliant.
A pleasure to help my friend	Brilliant.
I love serving you buddy	Brilliant.
A pleasure to help colleague	Brilliant.
I love serving you friend	Brilliant.
A pleasure to help whenever I can	Brilliant.
A pleasure to help whenever I can	Brilliant.
A pleasure to help when I can	Brilliant.
A pleasure to help you	Brilliant.
A pleasure to help you my friend	Brilliant.
A pleasure to help you my friend	Brilliant.
A pleasure to help you colleague	Brilliant.
A pleasure to help my friend	Brilliant.
I love to give you a hand my friend	Brilliant.
I love being able to help you my friend	Brilliant.
I love being able to help you buddy	Brilliant.
I love being able to help you bot	Brilliant.
I love being able to help you whenever I can	Brilliant.
I love being able to help you whenever I can	Brilliant.
I love being able to help you when I can	Brilliant.
I love serving you bot	Brilliant.
I love to lend you a helping hand	Brilliant.
Delighted to be able to help you colleague	Brilliant.
I love to give you a hand buddy	Brilliant.
I love to give you a hand bot	Brilliant.
I love to give you a hand whenever I can	Brilliant.
I love to give you a hand when I can	Brilliant.
I love serving you	Brilliant.
I love serving you my friend	Brilliant.
I love to give you a hand	Brilliant.
Happy to help you when I can	Brilliant.
Delighted to be able to help you whenever I can	Brilliant.
Delighted to help you	Brilliant.
Delighted to help you friend	Brilliant.
Delighted to help you my friend	Brilliant.
Delighted to help you colleague	Brilliant.
Happy to help you bot	Brilliant.
Happy to help whenever I can	Brilliant.
Happy to help you whenever I can	Brilliant.
Happy to help whenever I can	Brilliant.
Delighted to be able to help you	Brilliant.
Delighted to be able to help you friend	Brilliant.
Delighted to be able to help you friend	Brilliant.
Delighted to be able to help you colleague	Brilliant.
Delighted to be able to help you bot	Brilliant.
Delighted to be able to help you whenever I can	Brilliant.
Delighted to be able to help you whenever I can	Brilliant.
Happy to help you whenever I can	Brilliant.
You're welcome, buddy.	Brilliant.
Don't worry	Brilliant.
Don't even mention it	Brilliant.
Forget it	Brilliant.
Forget	Brilliant.
A pleasure	Brilliant.
Don't worry	Brilliant.
Happy to help when I can	Brilliant.
Por nada	Brilliant.
Delighted to lend you a helping hand	Brilliant.
You're welcome, my friend.	Brilliant.
You're welcome bot	Brilliant.
Delighted to help	Brilliant.
Delighted to help friend	Brilliant.
Delighted to help my friend	Brilliant.
Delighted to help colleague	Brilliant.
Happy to help bot	Brilliant.
It's a pleasure	Brilliant.
Happy to help you bot	Brilliant.
Happy to help bot	Brilliant.
Happy to help whenever I can	Brilliant.
Happy to help whenever I can	Brilliant.
Happy to help when I can	Brilliant.
Happy to help you	Brilliant.
Delighted to help you friend	Brilliant.
Delighted to be able to help you when I can	Brilliant.
Happy to help you colleague	Brilliant.
Delighted to help friend	Brilliant.
Happy to help you whenever I can	Brilliant.
Happy to help you whenever I can	Brilliant.
Happy to help you when I can	Brilliant.
Delighted to be able to help you	Brilliant.
Delighted to be able to help you friend	Brilliant.
Delighted to be able to help you friend	Brilliant.
A pleasure to help you whenever I can	Brilliant.
Delighted to help you friend	Brilliant.
Delighted to serve you friend	Brilliant.
Delighted to be able to help you bot	Brilliant.
Delighted to lend you a hand my friend	Brilliant.
Delighted to lend you a hand, buddy.	Brilliant.
Delighted to lend you a hand bot	Brilliant.
Delighted to lend you a hand whenever I can	Brilliant.
Delighted to lend you a hand whenever I can	Brilliant.
Delighted to lend you a hand when I can	Brilliant.
Happy to help colleague	Brilliant.
Delighted to serve you friend	Brilliant.
Delighted to help friend	Brilliant.
Delighted to serve you colleague	Brilliant.
Delighted to serve you bot	Brilliant.
Delighted to serve you whenever I can	Brilliant.
Delighted to serve you whenever I can	Brilliant.
Delighted to serve you when I can	Brilliant.
Delighted to help	Brilliant.
Delighted to lend you a hand	Brilliant.
Delighted to serve you	Brilliant.
I like to serve you my friend	Brilliant.
I like to help whenever I can	Brilliant.
I like to give you a hand my friend	Brilliant.
I like to give you a hand, buddy.	Brilliant.
I like to give you a hand bot	Brilliant.
I like to give you a hand whenever I can	Brilliant.
I like to give you a hand whenever I can	Brilliant.
I like to give you a hand	Brilliant.
I like to serve you	Brilliant.
I like being able to help you when I can	Brilliant.
I like to serve you friend	Brilliant.
I like to serve you buddy	Brilliant.
